,date,1wk_WIS,2wk_WIS,3wk_WIS,4wk_WIS,prev_week_hosp,1_week_roc,2_week_roc,avg_wis,std_wis,abs_z_1wk_WIS,abs_z_2wk_WIS,abs_z_3wk_WIS,abs_z_4wk_WIS
0,2023-10-14,3.51,7.76,6.33,40.89,26.0,-0.29729729729729726,-0.45833333333333337,14.6225,17.600460931464266,0.6313755101796359,0.38990456140452207,0.4711524335806192,1.4924325051647769
1,2023-10-21,16.16,13.02,43.17,78.34,37.0,0.42307692307692313,0.0,37.6725,30.301823239974635,0.7099407791284446,0.8135649067966986,0.18142472670580478,1.3420809592193386
2,2023-10-28,25.16,44.02,78.17,133.34,48.0,0.29729729729729737,0.8461538461538463,70.17250000000001,47.48393228240476,0.9479522406083345,0.5507652534853533,0.1684253939298004,1.3302921001638863
3,2023-11-04,37.56,68.0,120.38,279.35,57.0,0.1875,0.5405405405405406,126.3225,107.59960420466241,0.8249333318286856,0.542032662955398,0.05522789831732963,1.4221938931014133
4,2023-11-11,72.56,123.0,287.38,443.35,88.0,0.5438596491228069,0.8333333333333333,231.5725,168.36186174922952,0.9444686483500928,0.6448758577029506,0.33147352624980936,1.2578709798032344
5,2023-11-18,102.87,259.48,409.59,648.09,123.0,0.3977272727272727,1.1578947368421053,355.00750000000005,232.07428643647705,1.08645168696453,0.41162466323535435,0.23519408736796935,1.2628822628319143
6,2023-11-25,229.19,383.13,598.77,771.81,178.0,0.44715447154471555,1.022727272727273,495.72499999999997,238.43918826400997,1.1178321900042754,0.4722168399404632,0.4321646988912923,1.1578843310534466
7,2023-12-02,107.28,85.74,61.29,206.26,345.0,0.9382022471910112,1.8048780487804876,115.14249999999998,63.58410827400192,0.12365511152752579,0.46241900371231587,0.8469490484624604,1.433023163702303
8,2023-12-09,101.45,36.27,170.11,980.12,509.0,0.4753623188405798,1.8595505617977528,321.9875,442.14493900944586,0.4987900585135693,0.6462077811861962,0.3435016136117196,1.4884994533114848
9,2023-12-16,82.2,46.91,445.17,1521.72,744.0,0.46168958742632604,1.1565217391304348,524.0,689.0721963626163,0.6411519755580268,0.6923657673584858,0.11440020424001639,1.4479179471565289
10,2023-12-23,144.46,925.69,2218.04,3847.99,935.0,0.256720430107527,0.8369351669941061,1784.045,1620.0033849038712,1.0120873914700437,0.5298476583435865,0.2678975883903802,1.2740374614232497
11,2023-12-30,660.22,1802.99,3232.2,4904.34,1343.0,0.4363636363636363,0.8051075268817205,2649.9375,1834.6349362997717,1.0845304755904248,0.4616436127114132,0.31737240389325094,1.228801684408587
12,2024-01-06,1208.8,2310.8,3521.42,5322.02,1278.0,-0.04839910647803425,0.36684491978609635,3090.76,1762.0159161596698,1.068072077408784,0.4426520741651018,0.24441322921680944,1.2663109223570763
13,2024-01-13,1139.84,1800.81,2928.86,4239.73,1028.0,-0.19561815336463229,-0.23454951600893525,2527.31,1359.718096984322,1.020410041667628,0.5343019274445803,0.29531856705488135,1.2593934020573267
14,2024-01-27,50.95,76.52,229.48,312.36,923.0,0.06952491309385866,-0.10214007782101164,167.3275,124.74919355116756,0.9328918022405186,0.7279205373199793,0.49821965361649667,1.1625926859440017
15,2024-02-03,63.31,229.99,307.17,343.06,770.0,-0.16576381365113757,-0.10776361529548084,235.8825,124.34483433178879,1.387854195370316,0.04738837790621082,0.5733048773846439,0.8619376958918836
16,2024-02-10,109.2,190.47,219.88,94.55,703.0,-0.08701298701298699,-0.23835319609967498,153.52499999999998,61.13012159865762,0.7250926194946965,0.6043665386854279,1.0854714216936407,0.9647453408843708
17,2024-02-17,147.56,175.55,55.94,21.93,790.0,0.12375533428164998,0.025974025974025983,100.245,73.04273748977376,0.6477714503324067,1.0309717651332957,0.6065626990801497,1.0721805163855527
18,2024-02-24,87.75,17.8,78.41,94.19,798.0,0.010126582278481067,0.1351351351351351,69.5375,35.094781544649436,0.5189517984840311,1.4742220274024733,0.25281536483456774,0.702454864083875
19,2024-03-02,24.39,121.28,135.41,59.19,773.0,-0.03132832080200498,-0.021518987341772156,85.06750000000001,52.272097320973586,1.1608009456252266,0.6927692183009105,0.9630855194287494,0.49505379210443423
20,2024-03-09,112.58,133.57,63.22,28.26,596.0,-0.22897800776196642,-0.25313283208020054,84.4075,47.65183828213416,0.5912153867642618,1.0317020659081735,0.4446313251244226,1.1782861275480125
21,2024-03-16,100.44,34.82,18.21,20.44,414.0,-0.30536912751677847,-0.46442432082794305,43.4775,38.68182895968941,1.4725906590239306,0.2238130986262836,0.6532136840357633,0.5955638763618837
22,2024-03-23,65.44,25.42,31.54,141.26,357.0,-0.1376811594202898,-0.4010067114093959,65.91499999999999,53.224619303476466,0.008924441474942946,0.7608321211111976,0.6458477383182472,1.415604300904388
23,2024-03-30,22.87,15.55,68.83,97.96,392.0,0.0980392156862746,-0.0531400966183575,51.302499999999995,39.033250248986434,0.7284174343318565,0.9159498574149195,0.44904023846835905,1.1953270532784173
