,date,1wk_WIS,2wk_WIS,3wk_WIS,4wk_WIS,prev_week_hosp,1_week_roc,2_week_roc,avg_wis,std_wis,abs_z_1wk_WIS,abs_z_2wk_WIS,abs_z_3wk_WIS,abs_z_4wk_WIS,1st_deriv_stencil,week_of_year,moving_avg_WIS,lagged_1wk_WIS,is_wis_above_avg
0,2023-10-14,1.86,2.61,8.32,11.32,1.0,-0.6666666666666667,-0.75,6.0275,4.557538626641944,0.9144190189937392,0.7498565080770495,0.503012741702015,1.161262785368774,3.0,41,,,0
1,2023-10-21,1.45,2.3,5.29,6.28,4.0,3.0,0.33333333333333326,3.83,2.319439587486598,1.0261099331235553,0.6596420998651429,0.6294623959497441,1.056289637038954,1.5,42,,1.86,0
2,2023-10-28,1.65,5.3,6.29,19.28,4.0,0.0,3.0,8.129999999999999,7.696479714778699,0.8419433611391414,0.36770057284317437,0.23907033711358328,1.4487142710958998,3.0,43,1.6533333333333333,1.45,0
3,2023-11-04,3.73,2.52,13.13,31.27,10.0,1.5,1.5,12.662500000000001,13.280530549140973,0.6726011409670515,0.7637119588310461,0.035201906901997884,1.4011111928960993,5.166666666666667,44,2.276666666666667,1.65,0
4,2023-11-11,4.47,14.13,30.13,31.27,13.0,0.30000000000000004,2.25,20.0,12.977770738202048,1.196661608012929,0.45231188918453913,0.78056549189768,0.8684080052997881,0.75,45,3.283333333333333,3.73,0
5,2023-11-18,10.23,23.78,19.51,19.31,14.0,0.07692307692307687,0.3999999999999999,18.207500000000003,5.703954037916739,1.3985912135634309,0.9769538749711328,0.22835036736651404,0.19328697122578198,6.5,46,6.1433333333333335,4.47,0
6,2023-11-25,21.46,15.34,17.34,42.74,27.0,0.9285714285714286,1.076923076923077,24.22,12.606834125452222,0.21892887401665512,0.7043798555318473,0.5457357439255753,1.4690444734740784,17.416666666666668,47,12.053333333333333,10.23,0
7,2023-12-02,2.64,9.03,8.36,24.1,44.0,0.6296296296296295,2.142857142857143,11.0325,9.17143890928063,0.9150690620102788,0.21834087538583072,0.2913937525436367,1.424803689939746,8.333333333333334,48,11.443333333333333,21.46,0
8,2023-12-09,4.5,6.16,9.61,50.28,44.0,0.0,0.6296296296296295,17.6375,21.865501556866544,0.60083231870226,0.5249136394218982,0.3671308421223514,1.4928768002465096,-1.25,49,9.533333333333333,2.64,0
9,2023-12-16,11.62,4.79,27.4,82.67,50.0,0.13636363636363646,0.13636363636363646,31.62,35.32591022653674,0.5661566785326893,0.7594991842516026,0.1194590591703975,1.445114921954689,26.083333333333332,50,6.253333333333333,4.5,0
