,date,1wk_WIS,2wk_WIS,3wk_WIS,4wk_WIS,prev_week_hosp,1_week_roc,2_week_roc,avg_wis,std_wis,abs_z_1wk_WIS,abs_z_2wk_WIS,abs_z_3wk_WIS,abs_z_4wk_WIS,1st_deriv_stencil
0,2023-10-14,2.75,2.96,15.52,66.4,39.0,0.11428571428571432,0.026315789473684292,21.907500000000002,30.256681218093526,0.6331659398435212,0.6262253240341964,0.21111039753362876,1.4705016614113462,-8.0
1,2023-10-21,1.37,12.15,64.27,80.1,31.0,-0.20512820512820518,-0.11428571428571432,39.4725,38.57386539701027,0.9877801876436576,0.708316361836988,0.642857534363719,1.0532390151169266,0.5
2,2023-10-28,14.53,66.76,81.27,103.1,40.0,0.29032258064516125,0.02564102564102555,66.41499999999999,37.676838597030226,1.377105986914987,0.00915681922493377,0.39427405677213345,0.9736751109179207,12.916666666666666
3,2023-11-04,74.7,84.18,107.4,174.2,60.0,0.5,0.935483870967742,110.11999999999999,44.8742866238562,0.7893161688986027,0.5780593286626129,0.06061377694534692,1.4279892745065634,42.166666666666664
4,2023-11-11,91.7,107.18,176.4,210.2,116.0,0.9333333333333333,1.9,146.37,56.27531963480971,0.9714738246672397,0.6963976438395668,0.5336264670707374,1.134245001436069,39.0
5,2023-11-18,76.81,139.65,168.23,325.91,133.0,0.14655172413793105,1.2166666666666668,177.65,105.95985025785318,0.9516812241108871,0.3586264033737972,0.08890159788897829,1.3992092253736625,12.916666666666666
6,2023-11-25,68.3,83.89,237.42,515.63,156.0,0.1729323308270676,0.3448275862068966,226.31,207.42879179773155,0.7617553890690308,0.6865970667123055,0.05356054915864136,1.3947919066226948,49.25
7,2023-12-02,72.03,236.34,511.08,870.51,225.0,0.4423076923076923,0.6917293233082706,422.49,349.3060466124227,1.003303559725829,0.5329137637475405,0.2536171384925845,1.2826001849807849,44.25
8,2023-12-09,206.67,474.36,833.38,417.41,261.0,0.15999999999999992,0.6730769230769231,482.955,260.4490371774614,1.060802539315008,0.033000697922118336,1.3454647550155157,0.25166151777838885,95.5
9,2023-12-16,354.16,619.04,100.16,73.99,442.0,0.6934865900383143,0.9644444444444444,286.83750000000003,254.97932417812493,0.2640312120090547,1.3028605400488393,0.7321279895996187,0.834763762458276,247.33333333333334
10,2023-12-23,347.51,145.52,554.4,1036.82,746.0,0.6877828054298643,1.8582375478927204,521.0625,382.2171404123577,0.45406781028386545,0.9825370458133911,0.08722136313414301,1.3493834929631132,421.3333333333333
11,2023-12-30,122.55,504.01,945.39,1342.41,1137.0,0.5241286863270778,1.572398190045249,728.5899999999999,529.6218432051307,1.1442881515845473,0.4240384018923793,0.40934867543978937,1.1589778780371378,-3.4166666666666665
12,2024-01-06,553.6,1046.25,1496.44,2062.85,765.0,-0.3271767810026385,0.025469168900804195,1289.7849999999999,643.3281779672539,1.1443381857237296,0.3785548470292499,0.3212279627685128,1.2016650699844675,-310.75
13,2024-01-13,542.92,813.94,1187.39,1508.18,635.0,-0.16993464052287577,-0.4415127528583993,1013.1075000000001,422.7746240709503,1.112146929426618,0.47109615539880556,0.41223500673198354,1.1710080780934398,-138.75
14,2024-01-27,96.94,138.15,141.61,113.02,459.0,-0.08199999999999996,-0.27716535433070866,122.43,21.23895006821195,1.2001534877258622,0.7401495812887621,0.9030578224630066,0.4430539160259071,-149.25
15,2024-02-03,49.17,65.0,43.0,87.31,354.0,-0.2287581699346405,-0.29200000000000004,61.120000000000005,19.766195047774538,0.6045675442904953,0.196294734045784,0.9167166445643328,1.3249894548090433,-69.33333333333333
16,2024-02-10,37.51,20.72,57.56,44.89,308.0,-0.12994350282485878,-0.3289760348583878,40.17,15.384717525301964,0.1728988520995152,1.2642416065171302,1.1303424954926937,0.3067979631239513,-40.75
17,2024-02-17,18.66,52.88,37.95,16.02,259.0,-0.15909090909090906,-0.268361581920904,31.3775,17.350724048292626,0.7329665300769652,1.2392854580680122,0.3788026356540872,0.8851215636451342,-67.33333333333333
18,2024-02-24,46.75,33.41,13.94,10.86,188.0,-0.27413127413127414,-0.38961038961038963,26.24,16.93028253357476,1.2114387317120217,0.4235014971416476,0.7265088444689354,0.9084313843847338,-25.333333333333332
19,2024-03-02,14.22,3.77,3.47,2.54,202.0,0.07446808510638303,-0.22007722007722008,6.0,5.504961398593091,1.4931984813010306,0.405089125705754,0.4595854206437478,0.6285239349515287,-8.583333333333334
20,2024-03-09,4.33,3.91,5.23,3.0,156.0,-0.2277227722772277,-0.17021276595744683,4.1175,0.9264043393680754,0.2293814816810467,0.22398427034737417,1.200879521741949,1.2062767330756197,-55.166666666666664
21,2024-03-16,3.42,4.43,2.9,4.03,106.0,-0.3205128205128205,-0.4752475247524752,3.6950000000000003,0.6733250824576986,0.40842084628159847,1.0915975346071791,1.1807075374322564,0.49753084910667383,-37.833333333333336
22,2024-03-23,14.89,9.2,3.16,6.03,82.0,-0.2264150943396226,-0.47435897435897434,8.32,5.026894336135053,1.306969981997149,0.1750583841944429,1.026478707321962,0.45554965886963034,-21.0
23,2024-03-30,2.64,4.16,2.05,2.12,64.0,-0.2195121951219512,-0.39622641509433965,2.7425000000000006,0.9809646612731097,0.10448898318821653,1.445006182139475,0.7059377644667287,0.6345794344845321,-18.0
