,date,1wk_WIS,2wk_WIS,3wk_WIS,4wk_WIS,prev_week_hosp,1_week_roc,2_week_roc,avg_wis,std_wis,abs_z_1wk_WIS,abs_z_2wk_WIS,abs_z_3wk_WIS,abs_z_4wk_WIS
0,2023-10-14,80.78,95.22,218.84,230.62,215.0,-0.06521739130434778,0.2078651685393258,156.365,79.30685951837121,0.9530701437306436,0.7709925770775975,0.7877628792693252,0.9362998415389154
1,2023-10-21,88.74,210.66,217.84,421.75,292.0,0.35813953488372086,0.26956521739130435,234.7475,138.0268044922193,1.05781989619437,0.1745132047982596,0.12249432320193351,1.3548274241945628
2,2023-10-28,218.28,228.66,407.84,470.75,313.0,0.07191780821917804,0.45581395348837206,331.3825,127.29642162422843,0.8884970885817352,0.8069551263839199,0.6006256815741297,1.0948265333915252
3,2023-11-04,136.41,314.68,348.43,368.25,444.0,0.4185303514376997,0.5205479452054795,291.9425,106.02047707086275,1.467004340077097,0.21446328698183986,0.5327980175211292,0.7197430355741281
4,2023-11-11,326.41,363.68,395.43,383.25,462.0,0.04054054054054057,0.47603833865814704,367.1925,30.170347887730202,1.351741125152407,0.11642225714700712,0.935935512082171,0.532227870217245
5,2023-11-18,276.78,287.04,251.06,295.3,652.0,0.4112554112554112,0.46846846846846857,277.54499999999996,19.213150878152884,0.039816478039000965,0.49419275683702396,1.3784829030888335,0.9241066242908192
6,2023-11-25,35.56,29.52,45.91,55.42,701.0,0.07515337423312873,0.5173160173160174,41.6025,11.430609126376424,0.5286244970144918,1.0570302830248408,0.3768390601390026,1.2088157199003302
7,2023-12-02,24.91,33.66,40.1,83.98,748.0,0.06704707560627665,0.14723926380368102,45.662499999999994,26.292574839042803,0.7892912781286011,0.45649770224014147,0.21156163038623488,1.4573506107549785
8,2023-12-09,19.82,36.74,250.91,202.5,763.0,0.020053475935828846,0.0884450784593438,127.4925,116.45798652303758,0.9245608928564154,0.7792724458794198,1.059759864348897,0.6440734743869378
9,2023-12-16,31.2,195.4,130.26,161.48,844.0,0.10615989515072077,0.12834224598930488,129.585,70.77892600673358,1.390032394538455,0.9298671753473436,0.009536736965121037,0.45062848222598967
10,2023-12-23,215.91,179.38,127.97,419.22,989.0,0.1718009478672986,0.29619921363040635,235.62,127.60473371574687,0.15446135441892095,0.44073600063521623,0.8436207409029342,1.4388180959570713
11,2023-12-30,51.11,298.81,631.3,848.9,1336.0,0.35085945399393337,0.5829383886255923,457.53,352.9569117234189,1.1514719970081655,0.44968661819087646,0.492326383839646,1.1088322313593961
12,2024-01-06,373.8,725.53,979.17,1304.69,1416.0,0.05988023952095811,0.4317492416582407,845.7975,393.9612763859751,1.19808094930013,0.3052774656008844,0.3385421562837336,1.1648162586172808
13,2024-01-13,478.6,668.79,937.73,969.35,1071.0,-0.2436440677966102,-0.19835329341317365,763.6175,233.00089719069038,1.2232463627242542,0.40698341140889327,0.7472610710915184,0.8829687030416301
14,2024-01-27,102.02,24.31,36.59,33.67,836.0,-0.058558558558558516,-0.21942110177404295,49.14750000000001,35.63540596560299,1.483706964108535,0.6969893937499788,0.3523882964072616,0.43432927395129534
15,2024-02-03,64.2,27.93,33.73,25.45,711.0,-0.1495215311004785,-0.19932432432432434,37.82749999999999,17.920763330096555,1.4716170016993309,0.5522923224692051,0.22864539442460902,0.6906792848055153
16,2024-02-10,20.3,23.51,17.91,36.67,828.0,0.16455696202531644,-0.009569377990430672,24.5975,8.36897195996418,0.513503931015488,0.12994427573690345,0.7990826151637176,1.4425308219161095
17,2024-02-17,21.85,18.87,33.95,68.99,678.0,-0.1811594202898551,-0.04641350210970463,35.915,22.994007190280396,0.6116811168931571,0.7412801022000614,0.08545704903626389,1.4384182681294826
18,2024-02-24,16.14,33.33,73.96,38.69,625.0,-0.07817109144542778,-0.24516908212560384,40.53,24.273872098753973,1.0047840699157342,0.2966152235913607,1.37720096175822,0.07580166825112564
19,2024-03-02,15.71,31.7,18.14,27.9,538.0,-0.1392,-0.2064896755162242,23.362499999999997,7.658069273648548,0.9992727574732556,1.0887208906152597,0.6819604019476089,0.5925122688056061
20,2024-03-09,62.31,33.06,48.85,17.9,536.0,-0.0037174721189591198,-0.14239999999999997,40.53,19.248451019930584,1.1315196208488754,0.3880831757456885,0.43224257325356485,1.1756790183567516
21,2024-03-16,23.54,38.41,13.72,36.53,532.0,-0.007462686567164201,-0.01115241635687736,28.05,11.61793154280629,0.38819302587408944,0.8917249995688611,1.2334381509480488,0.7299061772532766
22,2024-03-23,14.53,13.62,18.44,12.24,428.0,-0.19548872180451127,-0.20149253731343286,14.707500000000001,2.660468317170244,0.06671757707259467,0.4087626200926537,1.4029484868927142,0.927468289727468
23,2024-03-30,10.74,23.27,11.11,23.06,404.0,-0.05607476635514019,-0.24060150375939848,17.044999999999998,7.068901376215873,0.8919349223365729,0.8806177464782188,0.8395929839916829,0.8509101598500378
