,date,1wk_WIS,2wk_WIS,3wk_WIS,4wk_WIS,prev_week_hosp,1_week_roc,2_week_roc,avg_wis,std_wis,abs_z_1wk_WIS,abs_z_2wk_WIS,abs_z_3wk_WIS,abs_z_4wk_WIS,1st_deriv_stencil,week_of_year,moving_avg_WIS,lagged_1wk_WIS,is_wis_above_avg
0,2023-10-14,7.42,5.96,3.68,3.61,22.0,-0.24137931034482762,0.10000000000000009,5.1674999999999995,1.8565447296882813,1.21327537332117,0.42686825010300894,0.8012195861554893,0.8389240372686889,-2.0,41,,,0
1,2023-10-21,2.94,3.44,5.21,11.9,20.0,-0.09090909090909094,-0.31034482758620685,5.8725000000000005,4.134661412981721,0.7092479182921102,0.5883190319677948,0.16023077437971808,1.4577977246396225,-2.0,42,,7.42,0
2,2023-10-28,3.71,5.11,10.53,12.64,18.0,-0.09999999999999998,-0.18181818181818177,7.9975000000000005,4.269530614325967,1.0042087496957486,0.6763038518359124,0.5931565384500249,1.0873560630816357,5.333333333333333,43,4.69,2.94,0
3,2023-11-04,7.82,8.69,12.22,42.43,30.0,0.6666666666666667,0.5,17.79,16.536478867441318,0.6029094875590436,0.5502985292665293,0.3368310778037986,1.4900390946293718,11.166666666666666,44,4.823333333333333,3.71,0
4,2023-11-11,15.17,9.43,42.18,36.43,38.0,0.2666666666666666,1.1111111111111112,25.802500000000002,15.940253814374056,0.6670220012690256,1.0271166438539499,1.0274303151453998,0.666708329977575,8.25,45,8.9,7.82,0
5,2023-11-18,12.17,41.42,34.6,59.45,46.0,0.21052631578947367,0.5333333333333334,36.91,19.543075500033254,1.2659215280603044,0.23077227532546404,0.11820043370328609,1.1533496864381276,2.0833333333333335,46,11.719999999999999,15.17,0
6,2023-11-25,36.85,32.14,56.01,156.93,47.0,0.021739130434782705,0.23684210526315796,70.4825,58.548885201456514,0.5744345068958432,0.6548801034907862,0.24718660227607497,1.4765012126627044,17.916666666666668,47,21.396666666666665,12.17,1
7,2023-12-02,9.25,28.59,138.23,230.9,77.0,0.6382978723404256,0.673913043478261,101.7425,103.14899947002233,0.896688290484879,0.7091925309586734,0.35373585965420984,1.2521449617893423,11.833333333333334,48,19.423333333333336,36.85,0
8,2023-12-09,11.68,88.21,165.97,111.43,71.0,-0.07792207792207795,0.5106382978723405,94.3225,64.01347846352361,1.2910171730019586,0.09548770269503568,1.119256470976287,0.2672484047207067,-0.08333333333333333,49,19.26,9.25,0
9,2023-12-16,92.2,169.53,116.33,51.48,96.0,0.352112676056338,0.24675324675324672,107.385,49.32196028815832,0.3078750299315609,1.2599864165358479,0.1813593771970899,1.1334707638013772,67.41666666666667,50,37.71,11.68,1
10,2023-12-23,92.73,25.04,29.21,149.02,200.0,1.0833333333333335,1.816901408450704,74.0,58.8275417357097,0.31838828289216875,0.8322632317352151,0.7613780667773751,1.2752530156204216,119.08333333333333,51,65.53666666666668,92.2,1
11,2023-12-30,16.96,116.79,292.05,427.75,300.0,0.5,2.125,213.3875,182.6233921444165,1.075587840601862,0.528943739713321,0.4307361673459368,1.1737954129692465,37.75,52,67.29666666666667,92.73,0
12,2024-01-06,111.86,287.57,428.11,651.21,274.0,-0.08666666666666667,0.3700000000000001,369.6875,227.95204910609309,1.1310602427618552,0.3602402361462476,0.2562929362956027,1.2350075426125005,-40.333333333333336,1,73.85000000000001,16.96,1
13,2024-01-13,174.18,266.38,430.67,601.5,235.0,-0.14233576642335766,-0.21666666666666667,368.1825,188.27503151418318,1.0304207543600137,0.5407116343641721,0.3318947791295028,1.239237609594683,-58.0,2,101.0,111.86,1
14,2024-01-27,27.35,31.77,62.96,33.19,164.0,-0.012048192771084376,-0.3021276595744681,38.8175,16.28598451634615,0.7041330530856231,0.4327340476669658,1.4824096127420672,0.3455425119894787,-63.916666666666664,4,104.46333333333335,174.18,0
15,2024-02-03,11.09,39.3,17.6,45.65,116.0,-0.29268292682926833,-0.3012048192771084,28.410000000000004,16.65981392453109,1.039627457933177,0.6536687654094855,0.6488667910079472,1.0348254835316377,-38.5,5,70.87333333333333,27.35,0
16,2024-02-10,34.59,12.76,37.34,38.97,89.0,-0.23275862068965514,-0.45731707317073167,30.915,12.237555583802948,0.30030507112581056,1.4835479091943087,0.5250231515600903,0.6582196865084085,-3.75,6,24.343333333333334,11.09,1
17,2024-02-17,2.45,22.5,24.27,30.97,97.0,0.0898876404494382,-0.1637931034482759,20.0475,12.285727152540327,1.4323531510596306,0.19962188395929792,0.3436915005170786,0.8890397665832541,-17.833333333333332,7,16.043333333333333,34.59,0
18,2024-02-24,15.93,17.99,18.43,16.33,57.0,-0.41237113402061853,-0.3595505617977528,17.17,1.225180258846292,1.0120959679579438,0.6692892691334753,1.0284200964733914,0.6856133976489314,-13.166666666666666,8,17.656666666666666,2.45,0
19,2024-03-02,7.76,15.26,8.55,19.06,74.0,0.29824561403508776,-0.23711340206185572,12.657499999999999,5.435134926261413,0.9010815860957422,0.4788289592269873,0.7557310086550812,1.1779836355238367,7.083333333333333,9,8.713333333333333,15.93,0
20,2024-03-09,9.38,5.91,14.1,25.79,63.0,-0.14864864864864868,0.10526315789473695,13.795,8.672533270811552,0.5090784736288311,0.9091922456542093,0.03516850157571764,1.3831022177073227,-8.583333333333334,10,11.023333333333333,7.76,0
21,2024-03-16,4.69,13.06,27.43,11.79,60.0,-0.04761904761904767,-0.18918918918918914,14.2425,9.531937106380843,1.0021572628301745,0.12405663054662974,1.3835068205781655,0.25729292720136127,-8.083333333333334,11,7.276666666666667,9.38,0
