date,1wk_WIS,1_week_roc,is_wis_above_avg,1st_deriv_stencil,week_of_year,moving_avg_WIS,lagged_1wk_WIS,loc_code,holiday_last_week,population,pred_hosp,actual_hosp,is_prediction_over
2023-11-11,9.26,-0.5833333333333333,0,4.5,45,4.783333333333334,1.72,09,0,3605944,6.7492068915091,22.0,False
2023-11-18,19.41,3.4000000000000004,0,14.916666666666666,46,10.13,9.26,09,1,3605944,6.7492068915091,33.0,False
2023-11-25,41.6,0.5,1,17.583333333333332,47,23.42333333333333,19.41,09,0,3605944,8.46692254735058,57.0,False
2023-12-02,16.52,0.7272727272727273,0,19.166666666666668,48,25.843333333333334,41.6,09,1,3605944,10.5269640909574,74.0,False
2023-12-09,25.98,0.2982456140350877,0,35.166666666666664,49,28.03333333333333,16.52,09,0,3605944,69.8826670951569,120.0,False
2023-12-16,8.76,0.6216216216216217,0,15.916666666666666,50,17.086666666666666,25.98,09,0,3605944,130.099181349405,115.0,True
2023-12-23,10.89,-0.0416666666666666,0,41.583333333333336,51,15.21,8.76,09,0,3605944,207.734380770885,194.0,True
2023-12-30,92.01,0.6869565217391305,1,31.416666666666668,52,37.22,10.89,09,0,3605944,313.613016670217,167.0,True
2024-01-06,115.0,-0.1391752577319587,1,-26.75,1,72.63333333333334,92.01,09,1,3605944,408.27361919533,159.0,True
2024-01-13,143.37,-0.0479041916167665,1,-0.4166666666666667,2,116.79333333333334,115.0,09,1,3605944,432.222749137495,128.0,True
2024-01-27,4.86,0.21875,0,-29.916666666666668,4,87.74333333333334,143.37,09,1,3605944,,111.0,False
2024-02-03,38.15,-0.2884615384615384,1,-6.0,5,62.126666666666665,4.86,09,0,3605944,95.9842751382341,142.0,False
2024-02-10,13.36,0.2792792792792793,0,3.9166666666666665,6,18.79,38.15,09,0,3605944,73.1692139542868,119.0,False
2024-02-17,66.23,-0.1619718309859155,1,12.166666666666666,7,39.24666666666667,13.36,09,0,3605944,78.9097127145265,173.0,False
2024-02-24,66.74,0.4537815126050419,1,60.75,8,48.77666666666666,66.23,09,0,3605944,83.6005282431557,213.0,False
2024-03-02,21.45,0.23121387283237,0,-3.75,9,51.47333333333333,66.74,09,1,3605944,123.294096427854,165.0,False
2024-03-09,29.91,-0.2253521126760563,0,-67.83333333333333,10,39.36666666666666,21.45,09,0,3605944,123.294096427854,100.0,True
2024-03-16,33.44,-0.3939393939393939,0,-44.333333333333336,11,28.266666666666666,29.91,09,0,3605944,139.508100976387,83.0,True
2024-03-23,27.44,-0.17,0,-5.5,12,30.263333333333325,33.44,09,0,3605944,128.718318778889,89.0,True
2024-03-30,6.95,0.072289156626506,0,6.0,13,22.61,27.44,09,0,3605944,128.718318778889,88.0,True
2023-10-28,1.65,0.0,0,3.0,43,1.653333333333333,1.45,19,0,3190369,7.83316984341039,10.0,False
2023-11-04,3.73,1.5,0,5.166666666666667,44,2.276666666666667,1.65,19,0,3190369,7.83316984341039,13.0,False
2023-11-11,4.47,0.3,0,0.75,45,3.283333333333333,3.73,19,0,3190369,9.53721075253168,14.0,False
2023-11-18,10.23,0.0769230769230768,0,6.5,46,6.1433333333333335,4.47,19,1,3190369,9.53721075253168,27.0,False
2023-11-25,21.46,0.9285714285714286,0,17.416666666666668,47,12.053333333333333,10.23,19,0,3190369,15.5216180916612,44.0,False
2023-12-02,2.64,0.6296296296296295,0,8.333333333333334,48,11.443333333333332,21.46,19,1,3190369,22.861946493343,44.0,False
2023-12-09,4.5,0.0,0,-1.25,49,9.533333333333331,2.64,19,0,3190369,64.152350789389,50.0,True
2023-12-16,11.62,0.1363636363636364,0,26.08333333333333,50,6.253333333333333,4.5,19,0,3190369,76.1141086039614,90.0,False
2023-12-23,10.34,0.8,0,28.5,51,8.82,11.62,19,0,3190369,94.1205989068536,99.0,False
2023-12-30,27.61,0.1,1,-0.1666666666666666,52,16.523333333333333,10.34,19,0,3190369,169.89460446569,94.0,True
2024-01-06,60.41,-0.0505050505050505,1,-8.833333333333334,1,32.78666666666667,27.61,19,1,3190369,189.893832668486,84.0,True
2024-01-13,43.1,-0.1063829787234043,1,-12.666666666666666,2,43.70666666666667,60.41,19,1,3190369,221.939633972175,95.0,True
2024-01-27,30.52,-0.1999999999999999,1,13.833333333333334,4,44.67666666666667,43.1,19,1,3190369,,107.0,False
